tournament,home_team,away_team,home_key,away_key,match_date,odds_home,odds_draw,odds_away,prob_home,prob_draw,prob_away,odds_source,bookmaker
FIFA World Cup 2018,Iran,Portugal,iran,portugal,2018-06-25 14:00:00+00:00,6.0,4.1,1.61,0.16154768605760994,0.23641124788918533,0.6020410660532047,oddsportal,bet365_or_avg
FIFA World Cup 2018,Japan,Senegal,japan,senegal,2018-06-24 11:00:00+00:00,3.2,2.9,2.7,0.3040776699029126,0.33553398058252426,0.36038834951456306,oddsportal,bet365_or_avg
FIFA World Cup 2018,England,Panama,england,panama,2018-06-24 08:00:00+00:00,1.22,6.5,19.0,0.7987840372550288,0.14992561930017462,0.05129034344479658,oddsportal,bet365_or_avg
FIFA World Cup 2018,Russia,Egypt,russia,egypt,2018-06-19 14:00:00+00:00,1.95,3.5,4.33,0.49813466563676106,0.27753217085476684,0.22433316350847204,oddsportal,bet365_or_avg
FIFA World Cup 2018,Mexico,Sweden,mexico,sweden,2018-06-27 10:00:00+00:00,2.2,3.4,3.6,0.4428364688856729,0.2865412445730825,0.2706222865412446,oddsportal,bet365_or_avg
FIFA World Cup 2018,Poland,Senegal,poland,senegal,2018-06-19 11:00:00+00:00,2.54,3.0,3.3,0.3822098679638638,0.32360435487607137,0.2941857771600649,oddsportal,bet365_or_avg
FIFA World Cup 2018,Sweden,England,sweden,england,2018-07-07 10:00:00+00:00,5.2,3.4,1.85,0.18725811253349212,0.28639476034534095,0.526347127121167,oddsportal,bet365_or_avg
FIFA World Cup 2018,Uruguay,Portugal,uruguay,portugal,2018-06-30 14:00:00+00:00,3.1,3.0,2.75,0.31639501438159157,0.32694151486097794,0.3566634707574305,oddsportal,bet365_or_avg
FIFA World Cup 2018,Argentina,Croatia,argentina,croatia,2018-06-21 14:00:00+00:00,2.1,3.3,4.0,0.46267087276550994,0.29442691903259727,0.24290220820189273,oddsportal,bet365_or_avg
FIFA World Cup 2018,Brazil,Mexico,brazil,mexico,2018-07-02 10:00:00+00:00,1.5,4.4,7.5,0.6489675516224188,0.22123893805309733,0.12979351032448377,oddsportal,bet365_or_avg
FIFA World Cup 2018,Croatia,Denmark,croatia,denmark,2018-07-01 14:00:00+00:00,1.95,3.3,4.75,0.4996414056896964,0.29524264881663875,0.2051159454936648,oddsportal,bet365_or_avg
FIFA World Cup 2018,Panama,Tunisia,panama,tunisia,2018-06-28 14:00:00+00:00,4.33,3.8,1.86,0.22384230961685847,0.25506242122131506,0.5210952691618265,oddsportal,bet365_or_avg
FIFA World Cup 2018,Nigeria,Argentina,nigeria,argentina,2018-06-26 14:00:00+00:00,6.0,5.25,1.5,0.16279069767441862,0.18604651162790697,0.6511627906976745,oddsportal,bet365_or_avg
FIFA World Cup 2018,Uruguay,Russia,uruguay,russia,2018-06-25 10:00:00+00:00,2.8,3.1,2.9,0.34858472276075997,0.3148507173322993,0.3365645599069407,oddsportal,bet365_or_avg
FIFA World Cup 2018,Denmark,France,denmark,france,2018-06-26 10:00:00+00:00,5.75,2.75,2.04,0.16921800769172762,0.3538194706281578,0.4769625216801146,oddsportal,bet365_or_avg
FIFA World Cup 2018,Serbia,Brazil,serbia,brazil,2018-06-27 14:00:00+00:00,7.75,4.75,1.44,0.12478905359179021,0.20360319270239455,0.6716077537058154,oddsportal,bet365_or_avg
FIFA World Cup 2018,Australia,Peru,australia,peru,2018-06-26 10:00:00+00:00,2.87,3.6,2.5,0.3395329535594371,0.270683215754329,0.38978383068623385,oddsportal,bet365_or_avg
FIFA World Cup 2018,Iran,Spain,iran,spain,2018-06-20 14:00:00+00:00,19.0,7.0,1.2,0.051157125456760044,0.13885505481120583,0.8099878197320342,oddsportal,bet365_or_avg
FIFA World Cup 2018,Poland,Colombia,poland,colombia,2018-06-24 14:00:00+00:00,3.6,3.5,2.14,0.2694826221486652,0.277182125638627,0.45333525221270776,oddsportal,bet365_or_avg
FIFA World Cup 2018,Colombia,England,colombia,england,2018-07-03 14:00:00+00:00,4.2,3.1,2.14,0.23161790377766914,0.31380490189232596,0.4545771943300049,oddsportal,bet365_or_avg
FIFA World Cup 2018,Belgium,Japan,belgium,japan,2018-07-02 14:00:00+00:00,1.4,4.8,9.5,0.6949100883876866,0.20268210911307527,0.10240780249923802,oddsportal,bet365_or_avg
FIFA World Cup 2018,Sweden,Switzerland,sweden,switzerland,2018-07-03 10:00:00+00:00,3.4,2.95,2.54,0.28644061317328645,0.3301349439963301,0.3834244428303834,oddsportal,bet365_or_avg
FIFA World Cup 2022,Netherlands,USA,netherlands,united states,2022-12-03 10:00:00+00:00,1.9,3.3,4.33,0.4963871326339192,0.28579865212255956,0.21781421524352113,oddsportal,bet365_or_avg
FIFA World Cup 2022,Japan,Croatia,japan,croatia,2022-12-05 10:00:00+00:00,3.8,3.25,2.05,0.24857755806361348,0.290644529428225,0.46077791250816164,oddsportal,bet365_or_avg
FIFA World Cup 2022,Croatia,Belgium,croatia,belgium,2022-12-01 10:00:00+00:00,3.0,3.4,2.37,0.3176442762535478,0.28027436140018924,0.40208136234626296,oddsportal,bet365_or_avg
FIFA World Cup 2022,Netherlands,Qatar,netherlands,qatar,2022-11-29 10:00:00+00:00,1.18,7.0,15.0,0.8017715332926084,0.13515577275503968,0.06307269395235185,oddsportal,bet365_or_avg
FIFA World Cup 2022,Argentina,Croatia,argentina,croatia,2022-12-13 14:00:00+00:00,1.95,3.1,4.75,0.4903021726462999,0.3084158827936402,0.2012819445600599,oddsportal,bet365_or_avg
FIFA World Cup 2022,Portugal,Uruguay,portugal,uruguay,2022-11-28 14:00:00+00:00,1.9,3.3,4.5,0.5005055611729018,0.28816986855409504,0.211324570273003,oddsportal,bet365_or_avg
FIFA World Cup 2022,Argentina,Australia,argentina,australia,2022-12-03 14:00:00+00:00,1.28,6.0,9.0,0.7377049180327869,0.15737704918032788,0.10491803278688525,oddsportal,bet365_or_avg
FIFA World Cup 2022,Croatia,Canada,croatia,canada,2022-11-27 11:00:00+00:00,2.25,3.25,3.5,0.4282352941176471,0.29647058823529415,0.27529411764705886,oddsportal,bet365_or_avg
FIFA World Cup 2022,Serbia,Switzerland,serbia,switzerland,2022-12-02 14:00:00+00:00,2.55,3.3,2.8,0.37265577737447064,0.2879612825166364,0.33938294010889286,oddsportal,bet365_or_avg
FIFA World Cup 2022,Argentina,Mexico,argentina,mexico,2022-11-26 14:00:00+00:00,1.55,3.8,7.0,0.6137517305029996,0.2503461005999077,0.13590216889709275,oddsportal,bet365_or_avg
FIFA World Cup 2022,Brazil,South Korea,brazil,south korea,2022-12-05 14:00:00+00:00,1.2,6.5,13.0,0.783132530120482,0.14457831325301207,0.07228915662650603,oddsportal,bet365_or_avg
FIFA World Cup 2022,Cameroon,Brazil,cameroon,brazil,2022-12-02 14:00:00+00:00,11.0,5.25,1.3,0.08652931854199683,0.18129952456418383,0.7321711568938192,oddsportal,bet365_or_avg
FIFA World Cup 2022,England,Senegal,england,senegal,2022-12-04 14:00:00+00:00,1.6,3.6,6.5,0.5915065722952477,0.262891809908999,0.14560161779575329,oddsportal,bet365_or_avg
FIFA World Cup 2022,Croatia,Brazil,croatia,brazil,2022-12-09 10:00:00+00:00,9.0,4.75,1.36,0.10512611879576893,0.19918633034987795,0.6956875508543532,oddsportal,bet365_or_avg
FIFA World Cup 2022,Morocco,Spain,morocco,spain,2022-12-06 10:00:00+00:00,6.0,3.75,1.62,0.15863689776733256,0.2538190364277321,0.5875440658049355,oddsportal,bet365_or_avg
FIFA World Cup 2022,Croatia,Morocco,croatia,morocco,2022-12-17 10:00:00+00:00,2.2,3.5,3.1,0.42767047694126925,0.2688214426487978,0.30350808040993305,oddsportal,bet365_or_avg
FIFA World Cup 2022,Australia,Denmark,australia,denmark,2022-11-30 10:00:00+00:00,7.0,5.0,1.4,0.13513513513513511,0.1891891891891892,0.6756756756756757,oddsportal,bet365_or_avg
FIFA World Cup 2022,South Korea,Portugal,south korea,portugal,2022-12-02 10:00:00+00:00,4.0,3.75,1.85,0.23647209203238181,0.2522368981678739,0.5112910097997444,oddsportal,bet365_or_avg
FIFA World Cup 2022,England,France,england,france,2022-12-10 14:00:00+00:00,2.75,3.1,2.7,0.34416118421052627,0.30530427631578944,0.3505345394736841,oddsportal,bet365_or_avg
FIFA World Cup 2022,Brazil,Switzerland,brazil,switzerland,2022-11-28 11:00:00+00:00,1.5,4.2,7.5,0.6422018348623854,0.22935779816513763,0.12844036697247707,oddsportal,bet365_or_avg
FIFA World Cup 2022,Canada,Morocco,canada,morocco,2022-12-01 10:00:00+00:00,4.75,3.4,1.83,0.20029293888522268,0.2798210175602376,0.5198860435545397,oddsportal,bet365_or_avg
FIFA World Cup 2022,Poland,Argentina,poland,argentina,2022-11-30 14:00:00+00:00,8.5,4.5,1.4,0.11160318866253321,0.21080602302922938,0.6775907883082374,oddsportal,bet365_or_avg
FIFA World Cup 2022,Tunisia,Australia,tunisia,australia,2022-11-26 05:00:00+00:00,2.15,3.3,3.6,0.4446939921392476,0.28972487366647953,0.26558113419427287,oddsportal,bet365_or_avg
FIFA World Cup 2022,Ecuador,Senegal,ecuador,senegal,2022-11-29 10:00:00+00:00,2.45,3.0,3.25,0.38902743142144636,0.31770573566084787,0.2932668329177058,oddsportal,bet365_or_avg
FIFA World Cup 2022,Morocco,Portugal,morocco,portugal,2022-12-10 10:00:00+00:00,6.5,3.8,1.57,0.14597147121430845,0.24968804286658022,0.6043404859191114,oddsportal,bet365_or_avg
FIFA World Cup 2022,Japan,Spain,japan,spain,2022-12-01 14:00:00+00:00,6.5,4.33,1.5,0.14631673800405498,0.2196440639783735,0.6340391980175715,oddsportal,bet365_or_avg
FIFA World Cup 2022,Netherlands,Argentina,netherlands,argentina,2022-12-09 14:00:00+00:00,3.6,3.1,2.2,0.2633204633204633,0.30579150579150577,0.43088803088803085,oddsportal,bet365_or_avg
FIFA World Cup 2022,South Korea,Ghana,south korea,ghana,2022-11-28 08:00:00+00:00,2.75,3.1,2.75,0.3463687150837989,0.30726256983240224,0.3463687150837989,oddsportal,bet365_or_avg
FIFA World Cup 2022,Cameroon,Serbia,cameroon,serbia,2022-11-28 05:00:00+00:00,5.0,3.8,1.7,0.19022379269729095,0.2502944640753828,0.5594817432273262,oddsportal,bet365_or_avg
FIFA World Cup 2022,Portugal,Ghana,portugal,ghana,2022-11-24 11:00:00+00:00,1.28,5.25,10.0,0.7289641766176062,0.17772840877534016,0.0933074146070536,oddsportal,bet365_or_avg
FIFA World Cup 2022,England,USA,england,united states,2022-11-25 14:00:00+00:00,1.45,4.2,8.0,0.6550984597387405,0.22616494443361276,0.1187365958276467,oddsportal,bet365_or_avg
FIFA World Cup 2022,Iran,USA,iran,united states,2022-11-29 14:00:00+00:00,4.2,3.4,1.9,0.22493036211699163,0.27785515320334264,0.4972144846796657,oddsportal,bet365_or_avg
FIFA World Cup 2022,Tunisia,France,tunisia,france,2022-11-30 10:00:00+00:00,5.75,3.8,1.61,0.16434970651838124,0.2486870559159716,0.5869632375656473,oddsportal,bet365_or_avg
FIFA World Cup 2022,Ghana,Uruguay,ghana,uruguay,2022-12-02 10:00:00+00:00,4.5,3.8,1.75,0.2102766798418972,0.24901185770750986,0.5407114624505929,oddsportal,bet365_or_avg
FIFA World Cup 2022,Argentina,France,argentina,france,2022-12-18 10:00:00+00:00,2.7,3.1,2.88,0.3560660445082555,0.3101220387652548,0.3338119167264895,oddsportal,bet365_or_avg
FIFA World Cup 2022,Japan,Costa Rica,japan,costa rica,2022-11-27 05:00:00+00:00,1.45,4.33,7.5,0.6543619089837492,0.21912812194605918,0.12650996907019152,oddsportal,bet365_or_avg
FIFA World Cup 2022,France,Denmark,france,denmark,2022-11-26 11:00:00+00:00,1.8,3.6,4.5,0.5263157894736842,0.2631578947368421,0.21052631578947367,oddsportal,bet365_or_avg
FIFA World Cup 2022,Wales,Iran,wales,iran,2022-11-25 05:00:00+00:00,2.1,3.2,3.8,0.4527177959791511,0.29709605361131797,0.2501861504095309,oddsportal,bet365_or_avg
FIFA World Cup 2022,Spain,Germany,spain,germany,2022-11-27 14:00:00+00:00,2.5,3.5,2.75,0.38118811881188125,0.2722772277227723,0.34653465346534656,oddsportal,bet365_or_avg
FIFA World Cup 2022,France,Poland,france,poland,2022-12-04 10:00:00+00:00,1.36,4.75,9.0,0.6956875508543532,0.19918633034987795,0.10512611879576893,oddsportal,bet365_or_avg
FIFA World Cup 2022,Portugal,Switzerland,portugal,switzerland,2022-12-06 14:00:00+00:00,2.0,3.5,3.8,0.4767025089605735,0.27240143369175623,0.25089605734767023,oddsportal,bet365_or_avg
FIFA World Cup 2022,Costa Rica,Germany,costa rica,germany,2022-12-01 14:00:00+00:00,26.0,11.0,1.08,0.03644618971652964,0.08614553932997915,0.8774082709534912,oddsportal,bet365_or_avg
FIFA World Cup 2022,Brazil,Serbia,brazil,serbia,2022-11-24 14:00:00+00:00,1.44,4.33,7.0,0.6500776404176282,0.2161921021250311,0.13373025745734066,oddsportal,bet365_or_avg
FIFA World Cup 2022,Saudi Arabia,Mexico,saudi arabia,mexico,2022-11-30 14:00:00+00:00,5.5,4.2,1.57,0.1720368389470114,0.22528633671632445,0.6026768243366641,oddsportal,bet365_or_avg
FIFA World Cup 2022,Wales,England,wales,england,2022-11-29 14:00:00+00:00,8.5,4.2,1.44,0.11202489442098246,0.22671704823294067,0.661258057346077,oddsportal,bet365_or_avg
FIFA World Cup 2022,France,Morocco,france,morocco,2022-12-14 14:00:00+00:00,1.55,4.0,6.5,0.6150206978119456,0.23832052040212892,0.1466587817859255,oddsportal,bet365_or_avg
FIFA World Cup 2022,Netherlands,Ecuador,netherlands,ecuador,2022-11-25 11:00:00+00:00,1.85,3.3,4.75,0.5127995419972192,0.28747853111965327,0.1997219268831275,oddsportal,bet365_or_avg
FIFA World Cup 2022,Poland,Saudi Arabia,poland,saudi arabia,2022-11-26 08:00:00+00:00,1.7,3.6,5.25,0.556783031374282,0.2629253203711887,0.18029164825452937,oddsportal,bet365_or_avg
FIFA World Cup 2022,Belgium,Morocco,belgium,morocco,2022-11-27 08:00:00+00:00,1.9,3.5,4.2,0.5011933174224343,0.2720763723150358,0.22673031026252982,oddsportal,bet365_or_avg
FIFA World Cup 2022,Qatar,Senegal,qatar,senegal,2022-11-25 08:00:00+00:00,5.25,3.6,1.7,0.18029164825452937,0.2629253203711887,0.556783031374282,oddsportal,bet365_or_avg
UEFA Euro 2020,Italy,England,italy,england,2021-07-11 15:00:00+00:00,3.4,2.9,2.45,0.2808855505040522,0.329314093694406,0.3898003558015417,oddsportal,bet365_or_avg
