scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2026-05-26 02:45:52 UTC,2018-06-27 10:00:00 UTC,https://www.oddsportal.com/football/h2h/germany-ptQide1O/south-korea-K6Gs7P6G/#Q7ok7sK9,South Korea,Germany,World Cup 2018,2,0,"(0:0, 2:0)",Ak Bars Arena,Kazan,Russia,"[{'1': '23.00', 'X': '8.40', '2': '1.14', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '18.00', 'X': '8.00', '2': '1.14', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '19.00', 'X': '8.50', '2': '1.16', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '17.00', 'X': '8.00', '2': '1.18', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:46:00 UTC,2018-06-25 14:00:00 UTC,https://www.oddsportal.com/football/h2h/iran-xrRx85iA/portugal-WvJrjFVN/#Sx3FPqyU,Iran,Portugal,World Cup 2018,1,1,"(0:1, 1:0)",Mordovia Arena,Saransk,Russia,"[{'1': '7.00', 'X': '4.08', '2': '1.54', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '6.10', 'X': '3.95', '2': '1.58', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '6.00', 'X': '4.10', '2': '1.61', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '6.00', 'X': '3.80', '2': '1.67', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:46:01 UTC,2018-06-24 11:00:00 UTC,https://www.oddsportal.com/football/h2h/japan-ULXPdOUj/senegal-hOIsJLJr/#EidU3TUE,Japan,Senegal,World Cup 2018,2,2,"(1:1, 1:1)",Yekaterinburg Arena,Yekaterinburg,Russia,"[{'1': '3.52', 'X': '2.87', '2': '2.47', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '3.05', 'X': '2.88', '2': '2.65', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.20', 'X': '2.90', '2': '2.70', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '3.20', 'X': '2.90', '2': '2.70', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:46:09 UTC,2018-06-24 08:00:00 UTC,https://www.oddsportal.com/football/h2h/england-j9N9ZNFA/panama-OWKqbCfi/#ddPXbJRk,England,Panama,World Cup 2018,6,1,"(5:0, 1:1)",MetLife Stadium,"East Rutherford, NJ",USA,"[{'1': '1.21', 'X': '6.40', '2': '18.00', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.20', 'X': '6.25', '2': '17.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.22', 'X': '6.50', '2': '19.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.22', 'X': '6.00', '2': '19.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:46:17 UTC,2018-06-19 14:00:00 UTC,https://www.oddsportal.com/football/h2h/egypt-bejDn7NN/russia-hrgrswHh/#ANarX9xt,Russia,Egypt,World Cup 2018,3,1,"(0:0, 3:1)",Misr Stadium,Cairo,Egypt,"[{'1': '1.99', 'X': '3.48', '2': '4.50', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.91', 'X': '3.45', '2': '4.20', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.95', 'X': '3.50', '2': '4.33', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.91', 'X': '3.50', '2': '4.50', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:46:17 UTC,2018-06-27 10:00:00 UTC,https://www.oddsportal.com/football/h2h/mexico-O6iHcNkd/sweden-OQyqbHWB/#4bpg61ZF,Mexico,Sweden,World Cup 2018,0,3,"(0:0, 0:3)",Estadio Municipal de Montilivi,Girona,Spain,"[{'1': '2.18', 'X': '3.36', '2': '3.56', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.16', 'X': '3.30', '2': '3.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.20', 'X': '3.40', '2': '3.60', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '2.25', 'X': '3.40', '2': '3.40', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:46:26 UTC,2018-06-19 11:00:00 UTC,https://www.oddsportal.com/football/h2h/poland-2HzmcynI/senegal-hOIsJLJr/#8fgM5k02,Poland,Senegal,World Cup 2018,1,2,"(0:1, 1:1)",Lukoil Arena,Moscow,Russia,"[{'1': '2.54', 'X': '3.10', '2': '3.38', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.48', 'X': '2.95', '2': '3.20', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.54', 'X': '3.00', '2': '3.30', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '2.40', 'X': '3.10', '2': '3.40', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:46:34 UTC,2018-07-07 10:00:00 UTC,https://www.oddsportal.com/football/h2h/england-j9N9ZNFA/sweden-OQyqbHWB/#SSuflM65,Sweden,England,World Cup 2018,0,2,"(0:1, 0:1)",Samara Arena,Samara,Russia,"[{'1': '5.60', 'X': '3.36', '2': '1.78', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '5.00', 'X': '3.30', '2': '1.81', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '5.20', 'X': '3.40', '2': '1.85', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '5.00', 'X': '3.40', '2': '1.85', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:46:35 UTC,2018-06-30 14:00:00 UTC,https://www.oddsportal.com/football/h2h/portugal-WvJrjFVN/uruguay-xMk44orG/#bsFuiTrl,Uruguay,Portugal,World Cup 2018,2,1,"(1:0, 1:1)",Lusail Iconic Stadium,Lusail,Qatar,"[{'1': '3.20', 'X': '2.95', '2': '2.59', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.95', 'X': '2.90', '2': '2.70', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.10', 'X': '3.00', '2': '2.75', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '3.00', 'X': '3.00', '2': '2.75', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:46:43 UTC,2018-06-21 14:00:00 UTC,https://www.oddsportal.com/football/h2h/argentina-f9OppQjp/croatia-K8aznggo/#IV9KYMDp,Argentina,Croatia,World Cup 2018,0,3,"(0:0, 0:3)",Lusail Iconic Stadium,Lusail,Qatar,"[{'1': '1.98', 'X': '3.26', '2': '4.40', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.10', 'X': '3.15', '2': '3.90', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.10', 'X': '3.30', '2': '4.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '2.05', 'X': '3.25', '2': '4.20', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
