scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2026-05-26 02:48:48 UTC,2022-12-03 10:00:00 UTC,https://www.oddsportal.com/football/h2h/netherlands-WYintcWb/usa-fuitL4CF/#ClJjw1Og,Netherlands,USA,World Cup 2022,3,1,"(2:0, 1:1)",Khalifa International Stadium,Al Rayyan,Qatar,"[{'1': '1.96', 'X': '3.38', '2': '4.44', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.91', 'X': '3.30', '2': '4.30', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.90', 'X': '3.30', '2': '4.33', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.91', 'X': '3.30', '2': '4.20', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.92', 'X': '3.39', '2': '4.46', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}]"
2026-05-26 02:48:49 UTC,2022-12-05 10:00:00 UTC,https://www.oddsportal.com/football/h2h/croatia-K8aznggo/japan-ULXPdOUj/#MVnruykg,Japan,Croatia,World Cup 2022,1,2,"1:0, 0:1, 0:0, 1:3",Al Janoub Stadium,Al Wakrah,Qatar,"[{'1': '3.90', 'X': '3.34', '2': '2.10', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '3.85', 'X': '3.25', '2': '2.05', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.80', 'X': '3.25', '2': '2.05', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '3.75', 'X': '3.25', '2': '2.05', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '3.79', 'X': '3.23', '2': '2.14', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}]"
2026-05-26 02:48:48 UTC,2022-12-01 10:00:00 UTC,https://www.oddsportal.com/football/h2h/belgium-GbB957na/croatia-K8aznggo/#fFk3r1B7,Croatia,Belgium,World Cup 2022,0,0,"(0:0, 0:0)",Stadion HNK Rijeka,Rijeka,Croatia,"[{'1': '3.05', 'X': '3.46', '2': '2.42', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '3.00', 'X': '3.35', '2': '2.35', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.00', 'X': '3.40', '2': '2.37', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '2.90', 'X': '3.40', '2': '2.38', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '3.03', 'X': '3.40', '2': '2.41', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}]"
2026-05-26 02:49:05 UTC,2022-11-29 10:00:00 UTC,https://www.oddsportal.com/football/h2h/netherlands-WYintcWb/qatar-zqzHL77i/#fZmDj4nU,Netherlands,Qatar,World Cup 2022,2,0,"(1:0, 1:0)",Al Bayt Stadium,Al Khor,Qatar,"[{'1': '1.20', 'X': '7.42', '2': '15.90', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.20', 'X': '6.80', '2': '14.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.18', 'X': '7.00', '2': '15.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.20', 'X': '6.50', '2': '13.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.20', 'X': '6.94', '2': '14.06', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}]"
2026-05-26 02:49:05 UTC,2022-12-13 14:00:00 UTC,https://www.oddsportal.com/football/h2h/argentina-f9OppQjp/croatia-K8aznggo/#QXChy9gE,Argentina,Croatia,World Cup 2022,3,0,"(2:0, 1:0)",Lusail Iconic Stadium,Lusail,Qatar,"[{'1': '1.98', 'X': '3.14', '2': '4.82', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.85', 'X': '3.25', '2': '4.70', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.95', 'X': '3.10', '2': '4.75', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '2.00', 'X': '3.00', '2': '4.33', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '2.01', 'X': '3.16', '2': '4.44', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}]"
2026-05-26 02:49:04 UTC,2022-11-28 14:00:00 UTC,https://www.oddsportal.com/football/h2h/portugal-WvJrjFVN/uruguay-xMk44orG/#fyRweveD,Portugal,Uruguay,World Cup 2022,2,0,"(0:0, 2:0)",Lusail Iconic Stadium,Lusail,Qatar,"[{'1': '1.94', 'X': '3.36', '2': '4.58', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.95', 'X': '3.25', '2': '4.20', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.90', 'X': '3.30', '2': '4.50', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.91', 'X': '3.30', '2': '4.33', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.94', 'X': '3.40', '2': '4.32', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}]"
2026-05-26 02:49:21 UTC,2022-12-03 14:00:00 UTC,https://www.oddsportal.com/football/h2h/argentina-f9OppQjp/australia-xSrf6qMM/#Ya9wwgP2,Argentina,Australia,World Cup 2022,2,1,"(1:0, 1:1)",Workers' Stadium,Beijing,China,"[{'1': '1.32', 'X': '6.17', '2': '9.25', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.25', 'X': '5.75', '2': '11.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.28', 'X': '6.00', '2': '9.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.29', 'X': '5.25', '2': '11.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.28', 'X': '5.79', '2': '11.37', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}]"
2026-05-26 02:49:22 UTC,2022-11-27 11:00:00 UTC,https://www.oddsportal.com/football/h2h/canada-x4toKORL/croatia-K8aznggo/#runaqsd1,Croatia,Canada,World Cup 2022,4,1,"(2:1, 2:0)",Khalifa International Stadium,Al Rayyan,Qatar,"[{'1': '2.12', 'X': '3.27', '2': '3.96', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.20', 'X': '3.20', '2': '3.45', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.25', 'X': '3.25', '2': '3.50', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '2.20', 'X': '3.20', '2': '3.40', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '2.22', 'X': '3.20', '2': '3.38', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}]"
2026-05-26 02:49:21 UTC,2022-12-02 14:00:00 UTC,https://www.oddsportal.com/football/h2h/serbia-8Kl6iq0i/switzerland-rHJ2vy1B/#drCYctBf,Serbia,Switzerland,World Cup 2022,2,3,"(2:2, 0:1)",Letzigrund Stadion,Zrich,Switzerland,"[{'1': '2.61', 'X': '3.37', '2': '2.86', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.50', 'X': '3.35', '2': '2.80', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.55', 'X': '3.30', '2': '2.80', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '2.50', 'X': '3.30', '2': '2.80', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '2.59', 'X': '3.34', '2': '2.82', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}]"
2026-05-26 02:49:38 UTC,2022-11-26 14:00:00 UTC,https://www.oddsportal.com/football/h2h/argentina-f9OppQjp/mexico-O6iHcNkd/#tWetjhDG,Argentina,Mexico,World Cup 2022,2,0,"(0:0, 2:0)",Lusail Iconic Stadium,Lusail,Qatar,"[{'1': '1.52', 'X': '4.05', '2': '7.97', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.45', 'X': '4.00', '2': '7.75', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.55', 'X': '3.80', '2': '7.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.53', 'X': '3.80', '2': '7.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.54', 'X': '3.93', '2': '6.48', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}]"
